date,type,title,body,permanent
2026 · January,pub,新論文刊登於 European Journal of Pharmacology,「Dengue Virus Modulates the Fibrinolytic System...」正式接受，王文宏博士為第一作者。,FALSE
2025 · November,pub,台灣2023年登革熱疫情回溯研究發表,與多國團隊合作之回溯性研究刊登於 Journal of Infection and Public Health。,FALSE
2025 · February,pub,結核菌快速檢測新方法發表,開發 Gene Chip 與 RFLP 快速偵測結核菌，第一作者，刊登於 J Microbiol Immunol Infect。,FALSE
2026,event,誠徵產學合作夥伴,實驗室積極尋求與生技醫藥、診斷試劑、抗體開發等相關產業合作，歡迎來信洽詢。,FALSE
常年,recruit,徵求碩博士研究生,實驗室長期招募對病毒學、傳染病及臨床轉譯研究有熱忱的碩博士生。歡迎來信附上個人簡歷與研究興趣洽詢,TRUE
